id,name,repository,pinned_ref,archive_file,archive_url,status,bytes,sha256,license_spdx,redistribution,error
1,ModelingAgent,qiancheng0/ModelingAgent,dca3588ba7cf114b77ed5f89aa1f3e9ddf4a3baa,qiancheng0__ModelingAgent__dca3588ba7cf.zip,https://github.com/qiancheng0/ModelingAgent/archive/dca3588ba7cf114b77ed5f89aa1f3e9ddf4a3baa.zip,existing-valid,1922164,271135f12012655f4c6eaafe9b851e0680fb97a6956c56d363333628699e0901,NOASSERTION,download-from-upstream-only,
2,LLM-MM-Agent,usail-hkust/LLM-MM-Agent,c593c794131a7343c6d9ed379220969322b91e64,usail-hkust__LLM-MM-Agent__c593c794131a.zip,https://github.com/usail-hkust/LLM-MM-Agent/archive/c593c794131a7343c6d9ed379220969322b91e64.zip,downloaded-valid,755494746,bc9c3d6b9e78a95782d74e4654429dbdab4e0d96379c3e750b2da0f864923776,GPL-3.0,follow-upstream-license,
3,math-model-agent,chengziyue1222/math-model-agent,33cb044009d2dc12e7fa86e4ded6138ddb790d9a,chengziyue1222__math-model-agent__33cb044009d2.zip,https://github.com/chengziyue1222/math-model-agent/archive/33cb044009d2dc12e7fa86e4ded6138ddb790d9a.zip,existing-valid,2527584,f87c71583de204a86500d1bf86662105fba84022ba5add44fa4a17c328e1fbdc,MIT,follow-upstream-license,
4,Escap1ng math-modeling-skill,Escap1ng/math-modeling-skill,aabad820bdbde9ffd436a3061efaa5540f220517,Escap1ng__math-modeling-skill__aabad820bdbd.zip,https://github.com/Escap1ng/math-modeling-skill/archive/aabad820bdbde9ffd436a3061efaa5540f220517.zip,existing-valid,71029,2b39a423a75776d89b2e351b399636bb58db199d4cde1d999e16808d03b52da5,MIT,follow-upstream-license,
5,lg66 math-modeling-skill,lg66lgnb-sketch/math-modeling-skill,3dc18c3b3455a867bd1aa3702490c9b8b5619720,lg66lgnb-sketch__math-modeling-skill__3dc18c3b3455.zip,https://github.com/lg66lgnb-sketch/math-modeling-skill/archive/3dc18c3b3455a867bd1aa3702490c9b8b5619720.zip,existing-valid,42057,3ea63fab8c1605d52bdac085a2789ac8cf4184e4413c2f8a6d2d8f1abb8da3c4,MIT,follow-upstream-license,
6,VectorAC math-modeling-skill,VectorAC/math-modeling-skill,734639d08fc33f3178dc6d990982491f84e6cd20,VectorAC__math-modeling-skill__734639d08fc3.zip,https://github.com/VectorAC/math-modeling-skill/archive/734639d08fc33f3178dc6d990982491f84e6cd20.zip,existing-valid,134476,f09aff9390aa7d847769c76f55844ef06ba8dac13b14596f4288088d188c7ca4,NOASSERTION,download-from-upstream-only,
7,XiaoMaColtAI math-modeling-skill,XiaoMaColtAI/math-modeling-skill,08cb5ee1df56bdd16e34a30d0153ec2d0e4d531e,XiaoMaColtAI__math-modeling-skill__08cb5ee1df56.zip,https://github.com/XiaoMaColtAI/math-modeling-skill/archive/08cb5ee1df56bdd16e34a30d0153ec2d0e4d531e.zip,existing-valid,5530567,0e907a78970048b7dea20200803f5da05afd4e800e412f833570d6df025416a2,NOASSERTION,download-from-upstream-only,
8,mathematical-modeling-agent,Zhengxuejun/mathematical-modeling-agent,cd928efdfc05f8885d141034e9f55fef312e7020,Zhengxuejun__mathematical-modeling-agent__cd928efdfc05.zip,https://github.com/Zhengxuejun/mathematical-modeling-agent/archive/cd928efdfc05f8885d141034e9f55fef312e7020.zip,existing-valid,391217,fce0e78feddc30d138946cd859e4c85746c5dff6a100c0f10f35c59678f92d8f,MPL-2.0,follow-upstream-license,
9,MathModel-Skill,yushui2022/MathModel-Skill,7611fb2343263c9ccc3755678697b8f638739b06,yushui2022__MathModel-Skill__7611fb234326.zip,https://github.com/yushui2022/MathModel-Skill/archive/7611fb2343263c9ccc3755678697b8f638739b06.zip,existing-valid,2348749,a90f8213fb8b5eb498c5d2dbf30add9d46559fbd88055da3a18e8c7d93d93373,MIT,follow-upstream-license,
10,MathModelAgent,jihe520/MathModelAgent,83d8783187a2d29dda1b046cb667009cc50c8203,jihe520__MathModelAgent__83d8783187a2.zip,https://github.com/jihe520/MathModelAgent/archive/83d8783187a2d29dda1b046cb667009cc50c8203.zip,downloaded-valid,41824142,f18a639ada7a8a55fa9f43225c1e61ea7ca86ce7c9d5c8396286e3f212e3b2a6,NOASSERTION,download-from-upstream-only,
11,MathModeling-skills,zhnnky329/MathModeling-skills,046a6e74814c2e5fef72b5ee56305509a8635e1d,zhnnky329__MathModeling-skills__046a6e74814c.zip,https://github.com/zhnnky329/MathModeling-skills/archive/046a6e74814c2e5fef72b5ee56305509a8635e1d.zip,existing-valid,319235,ab2867000117ba05a46e27c65999add7ac9600ccc663378d53ed5f69e661cd36,MIT,follow-upstream-license,
12,MCM-AI-Starter-Kit,Gunp-666/MCM-AI-Starter-Kit,1ba295a30bcc50d5c70ceb45bd629c2048575ee2,Gunp-666__MCM-AI-Starter-Kit__1ba295a30bcc.zip,https://github.com/Gunp-666/MCM-AI-Starter-Kit/archive/1ba295a30bcc50d5c70ceb45bd629c2048575ee2.zip,existing-valid,34616,59694ec809bb62b7ef808e8e3f8565f869e0602ce07f452fcedc4525047e1d3a,NOASSERTION,download-from-upstream-only,
13,MCM-Resource,dreamnight16/MCM-Resource,2803576bf1dca350c49f4f8506ffd7e25978cc5d,dreamnight16__MCM-Resource__2803576bf1dc.zip,https://github.com/dreamnight16/MCM-Resource/archive/2803576bf1dca350c49f4f8506ffd7e25978cc5d.zip,existing-valid,171749,18e12ad2510f2fce191395b2f43459bf21ef49a57a4071092d27531ff9c476dc,MIT,follow-upstream-license,
14,EZ_math_model,woodfishhhh/EZ_math_model,ec987a561bd972465e4179f6673f7ba6424fd7aa,woodfishhhh__EZ_math_model__ec987a561bd9.zip,https://github.com/woodfishhhh/EZ_math_model/archive/ec987a561bd972465e4179f6673f7ba6424fd7aa.zip,existing-valid,1022749,707e0e451cc7d4000aa2c65002b5d0f6e14f8fed881b6b01bbbd3115219d6d95,MIT,follow-upstream-license,
15,handsomeZR mathmodel-skill,handsomeZR-netizen/mathmodel-skill,d3941e14d8693fb4a79948e59afff3098734127e,handsomeZR-netizen__mathmodel-skill__d3941e14d869.zip,https://github.com/handsomeZR-netizen/mathmodel-skill/archive/d3941e14d8693fb4a79948e59afff3098734127e.zip,existing-valid,306283,45c14fb767b4978b8bf5b51a7c32ad0548616f70926509ee41a21b952c36d071,MIT,follow-upstream-license,
16,Hjdd14 math-modeling,Hjdd14/math-modeling,9f5239414a7a93b5f71dee0a0d626f7d0c828e11,Hjdd14__math-modeling__9f5239414a7a.zip,https://github.com/Hjdd14/math-modeling/archive/9f5239414a7a93b5f71dee0a0d626f7d0c828e11.zip,existing-valid,3874565,742a08fb72afb94e107ed023da14654b65db037494dce32768d6a5b86bd6e578,MIT,follow-upstream-license,
17,xuec699 math-modeling-skills,xuec699-sudo/math-modeling-skills,0ac52b3085d8d54284647060eb07ace016d55e10,xuec699-sudo__math-modeling-skills__0ac52b3085d8.zip,https://github.com/xuec699-sudo/math-modeling-skills/archive/0ac52b3085d8d54284647060eb07ace016d55e10.zip,existing-valid,1675507,c0c00dea92ca34e3a7ae07c89434d789bcef3dd4b76894aedc8ac706d97d913e,NOASSERTION,download-from-upstream-only,
18,Hermes math-modeling,cha3343954211/math-modeling-skill,92aeaf37cbfe0d29bc1547b7667cb43d55a2756e,cha3343954211__math-modeling-skill__92aeaf37cbfe.zip,https://github.com/cha3343954211/math-modeling-skill/archive/92aeaf37cbfe0d29bc1547b7667cb43d55a2756e.zip,existing-valid,330759,7e5f8543c0ea2fdb146a151535f60ca7671bfab7ab58dcfc2a8814ee129463c1,MIT,follow-upstream-license,
19,AgenticDataBench,AgenticDataBench/AgenticDataBench,61bb0d6be3439797d2c75a6ede198b0b296cc226,AgenticDataBench__AgenticDataBench__61bb0d6be343.zip,https://github.com/AgenticDataBench/AgenticDataBench/archive/61bb0d6be3439797d2c75a6ede198b0b296cc226.zip,existing-valid,112431362,16dea890b3d0a0ee57f5f615b8f57e02d4a2918f41851f085c606734846965a0,Apache-2.0,follow-upstream-license,
20,LLM4OPT,ishmael233/LLM4OPT,dd6d83bd5ca063299b339bc514ae6398b5888ed1,ishmael233__LLM4OPT__dd6d83bd5ca0.zip,https://github.com/ishmael233/LLM4OPT/archive/dd6d83bd5ca063299b339bc514ae6398b5888ed1.zip,existing-valid,2006131,2e1ce4e6fe5623f595ef83031d1458d12ea0412e7a3f6f818fc2170f25f21ec4,NOASSERTION,download-from-upstream-only,
21,MathAgent,oashua/MathAgent,3f94f2e8a268ebc0fae51ab45c55bafc71cff871,oashua__MathAgent__3f94f2e8a268.zip,https://github.com/oashua/MathAgent/archive/3f94f2e8a268ebc0fae51ab45c55bafc71cff871.zip,existing-valid,1573652,be4415f5fe543a542b0c2115d491fb54c3663b7788bce7734daae0098c09d27f,MIT,follow-upstream-license,
22,ORLM,Cardinal-Operations/ORLM,33bc47d0a1d1710d24ab839118bdf4cb89b9e31b,Cardinal-Operations__ORLM__33bc47d0a1d1.zip,https://github.com/Cardinal-Operations/ORLM/archive/33bc47d0a1d1710d24ab839118bdf4cb89b9e31b.zip,existing-valid,1349290,9dd6e72e5370e9d4b70e3ba3430cbfca3b52ba7f5e66df44f79262dc3e27be9e,Apache-2.0,follow-upstream-license,
23,ReSocratic,yangzhch6/ReSocratic,27ff7ecb3c6a4955fdcb031f7bf3419c6f462d2e,yangzhch6__ReSocratic__27ff7ecb3c6a.zip,https://github.com/yangzhch6/ReSocratic/archive/27ff7ecb3c6a4955fdcb031f7bf3419c6f462d2e.zip,existing-valid,12740503,f65e2927b065fd250c8849f4bffc6fedda9b5938119eb3987a17864731c03001,Apache-2.0,follow-upstream-license,
